STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,EVENT_TYPE,SEVERITY_SCORE,TEMP_7DAY_AVG,MAX_3DAY_ROLLING
1001099999,2024-01-01,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",26.6,24,  20.5,24,1016.6,24,15.4,24, 15.5, 4,13.1,24,21.0,27.8,32.9, ,17.4, ,0.01,G,999.9,0,NORMAL,24.82,,
1001099999,2024-01-02,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",33.3,24,  30.9,24,1006.9,24,5.7,24,  6.2, 4,6.4,24,15.3,20.6,34.5, ,31.1, ,, ,999.9,111000,NORMAL,21.06,,
1001099999,2024-01-03,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",29.7,24,  27.2,24,1006.9,24,5.7,24, 14.8, 4,14.0,24,22.5,30.1,34.3, ,25.3, ,0.0,G,999.9,0,NORMAL,26.04,,34.5
1001099999,2024-01-04,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",19.5,24,  14.8,24,1010.4,24,9.2,24,  7.5, 4,17.5,24,25.6,32.1,28.8, ,14.7, ,0.0,G,999.9,1000,NORMAL,26.56,,34.5
1001099999,2024-01-05,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",20.6,24,  16.5,24,1010.3,24,9.1,24,  9.2, 4,11.9,24,22.0,31.9,26.6,*,16.0, ,0.06,G,999.9,1000,NORMAL,24.88,,34.3
1001099999,2024-01-06,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",20.6,24,  17.0,24,1016.2,24,15.0,24, 10.3, 4,7.4,24,20.8,25.4,22.8, ,16.0, ,0.03,G,999.9,1000,NORMAL,22.15,,28.8
1001099999,2024-01-07,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",27.0,24,  21.7,24,1020.1,24,18.9,24,  8.7, 4,9.8,24,20.4,24.7,34.7, ,17.1, ,0.01,G,999.9,11000,NORMAL,24.939999999999998,25.32857142857143,34.7
1001099999,2024-01-08,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",40.1,24,  35.4,24,1015.5,24,14.3,24,  5.9, 4,17.1,24,23.3,38.1,45.5, ,32.9, ,0.05,G,999.9,10000,NORMAL,31.21,27.25714285714286,45.5
1001099999,2024-01-09,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",34.6,24,  31.5,24,1022.9,24,21.7,24,  8.4, 4,11.2,24,23.5,37.1,42.1, ,29.7, ,0.0,G,999.9,10000,NORMAL,29.08,27.442857142857143,45.5
1001099999,2024-01-10,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",26.0,24,  23.9,24,1029.8,24,28.6,24,  5.7, 4,9.7,24,20.4,37.1,41.9, ,20.3, ,0.01,G,999.9,10000,NORMAL,27.099999999999994,26.914285714285715,45.5
1001099999,2024-01-11,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",36.3,24,  32.7,24,1024.8,24,23.6,24,  7.6, 4,21.1,24,29.5,46.2,40.5, ,24.8, ,0.0,G,999.9,10000,NORMAL,32.8,29.314285714285717,42.1
1001099999,2024-01-12,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",23.7,24,  21.3,24,1011.7,24,10.5,24,  3.9, 4,20.9,24,34.2,49.7,35.4, ,11.3, ,0.01,G,999.9,10000,NORMAL,34.81,29.75714285714286,41.9
1001099999,2024-01-13,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",17.0,22,  14.0,22,1019.2,22,18.0,22,  1.9, 4,29.6,22,36.3,58.7,24.4, ,10.0, ,0.06,G,999.9,1000,NORMAL,34.23,29.24285714285714,40.5
1001099999,2024-01-14,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",13.6,11,   6.6,11,1025.6,11,24.3,11,  2.5, 4,24.2,11,28.6,45.8,18.5, ,11.5, ,0.2,G,999.9,1000,NORMAL,30.57,27.328571428571426,35.4
1001099999,2024-01-15,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",17.3,14,  10.0,14,1014.3,14,13.1,14,  1.9, 4,25.0,14,32.8,46.6,21.0, ,12.9, ,0.02,G,999.9,1000,NORMAL,29.759999999999998,24.071428571428573,24.4
1001099999,2024-01-16,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",22.9,17,  18.5,17,1010.3,17,9.1,17,  7.5, 4,27.7,17,36.1,57.7,27.7, ,17.8, ,0.17,G,999.9,1000,NORMAL,37.83,22.400000000000002,27.7
1001099999,2024-01-17,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",20.4,20,  15.5,20,1007.8,20,6.6,20,  3.6, 4,19.6,20,26.8,37.7,25.3, ,16.9, ,0.03,G,999.9,11001,NORMAL,27.099999999999998,21.599999999999998,27.7
1001099999,2024-01-18,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",26.7,24,  22.3,24,1002.5,24,1.3,24,  4.9, 4,20.4,24,30.5,43.1,29.5, ,19.6, ,0.19,G,999.9,1000,NORMAL,34.949999999999996,20.228571428571428,29.5
1001099999,2024-01-19,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",23.3,24,  13.5,24,1003.2,24,2.0,24, 17.9, 4,9.5,24,18.6,28.4,28.4, ,18.0, ,0.0,G,999.9,0,NORMAL,21.54,20.17142857142857,29.5
1001099999,2024-01-20,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",30.6,24,  28.7,24, 988.8,24,987.6,24,  4.3, 4,14.4,24,20.8,29.5,33.1, ,22.8, ,0.03,G,999.9,1000,NORMAL,25.24,22.114285714285717,33.1
1001099999,2024-01-21,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",32.6,24,  31.1,24, 967.1,24,966.0,24,  2.1, 4,14.4,24,27.2,35.7,34.9, ,30.6, ,0.13,G,999.9,10000,NORMAL,32.76,24.82857142857143,34.9
1001099999,2024-01-22,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",25.2,24,  20.8,24, 969.6,24,968.5,24,  7.8, 4,17.9,24,28.0,46.2,32.5, ,19.0, ,0.1,G,999.9,11000,NORMAL,31.849999999999998,25.957142857142856,34.9
1001099999,2024-01-23,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",26.3,23,  19.9,23, 982.2,23,981.0,23,  7.6, 4,14.2,23,24.9,46.0,31.5, ,21.4, ,0.01,G,999.9,1000,NORMAL,27.129999999999995,26.442857142857143,34.9
1001099999,2024-01-24,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",28.2,24,  24.5,24, 987.8,24,986.6,24, 13.2, 4,6.3,24,15.2,26.6,33.8, ,19.9, ,0.02,G,999.9,0,NORMAL,21.279999999999998,27.557142857142853,33.8
1001099999,2024-01-25,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",34.9,24,  33.5,24, 984.6,24,983.4,24,  2.0, 4,16.6,24,28.9,38.1,37.4, ,32.4, ,0.0,G,999.9,0,NORMAL,31.449999999999996,28.728571428571428,37.4
1001099999,2024-01-26,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",32.0,23,  28.4,23, 974.8,23,973.6,23,  8.9, 4,18.6,23,31.9,44.7,37.4, ,25.5, ,0.27,G,999.9,11000,NORMAL,40.3,29.97142857142857,37.4
1001099999,2024-01-27,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",29.1,24,  24.9,24, 972.0,24,970.9,24, 10.3, 4,24.5,24,32.1,41.6,34.0, ,23.5, ,0.19,G,999.9,11000,NORMAL,37.42,29.757142857142856,37.4
1001099999,2024-01-28,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",23.4,24,  18.9,24, 976.2,24,975.0,24,  8.1, 4,15.6,24,26.2,38.9,27.1, ,21.7, ,0.09,G,999.9,1000,NORMAL,28.72,28.442857142857143,37.4
1001099999,2024-01-29,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",23.1,24,  16.8,24, 983.8,24,982.6,24,  5.7, 4,13.8,24,21.6,40.2,27.5, ,19.4, ,0.01,G,999.9,1000,NORMAL,23.619999999999997,28.142857142857142,34.0
1001099999,2024-01-30,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",25.5,24,  21.3,24, 986.2,24,985.0,24,  6.4, 4,15.0,24,24.3,31.5,28.9, ,19.4, ,0.0,G,999.9,1000,NORMAL,25.68,28.02857142857143,28.9
1001099999,2024-01-31,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",22.7,24,  15.1,24, 981.9,24,980.7,24, 15.4, 4,17.3,24,31.9,45.3,25.9, ,18.7, ,0.01,G,999.9,0,NORMAL,30.349999999999998,27.242857142857144,28.9
1001099999,2024-02-01,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",20.9,24,  11.5,24, 986.9,24,985.7,24, 17.4, 4,13.0,24,22.7,41.4,24.1, ,18.0, ,0.01,G,999.9,1000,NORMAL,23.369999999999997,25.24285714285714,28.9
1001099999,2024-02-02,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",17.9,24,   8.4,24, 983.1,24,981.9,24, 18.6, 4,10.8,24,21.0,28.9,21.7, ,16.0, ,0.0,G,999.9,0,NORMAL,21.21,23.228571428571428,25.9
1001099999,2024-02-03,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",21.2,24,  13.1,24, 985.1,24,983.9,24, 11.2, 4,18.0,24,27.4,41.2,23.5, ,16.7, ,0.0,G,999.9,1000,NORMAL,26.229999999999997,22.099999999999998,24.1
1001099999,2024-02-04,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",19.9,24,  12.0,24, 994.6,24,993.4,24,  6.5, 4,17.8,24,25.6,39.8,23.5, ,16.9, ,0.01,G,999.9,1000,NORMAL,25.22,21.599999999999998,23.5
1001099999,2024-02-05,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",25.2,24,  21.7,24, 991.8,24,990.6,24,  8.8, 4,19.4,24,29.7,51.9,32.7, ,17.8, ,0.06,G,999.9,1000,NORMAL,32.1,21.900000000000002,32.7
1001099999,2024-02-06,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",28.8,24,  22.9,24,1005.6,24,4.4,24, 24.9, 4,15.7,24,25.1,35.5,32.0, ,24.1, ,0.13,G,999.9,0,NORMAL,30.42,22.37142857142857,32.7
1001099999,2024-02-07,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",26.4,24,  20.2,24,1009.2,24,8.0,24, 15.5, 4,18.7,24,24.3,35.4,30.6, ,23.9, ,0.0,G,999.9,11100,NORMAL,26.189999999999998,22.9,32.7
1001099999,2024-02-08,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",25.5,24,  18.5,24,1007.6,24,6.4,24, 12.4, 4,14.8,24,21.2,27.8,27.0, ,23.4, ,, ,999.9,1000,NORMAL,22.939999999999998,23.557142857142857,32.0
1001099999,2024-02-09,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",26.2,24,  18.6,24,1008.9,24,7.7,24, 27.0, 4,13.2,24,17.3,22.9,27.0, ,24.8, ,0.0,I,999.9,0,NORMAL,20.21,24.74285714285714,30.6
